sub-population,Independnet ,All ,True cluster,2 clusters ,3 clusters 
1,53,62,79,90,77
2,45,14,26,22,53
3,51,32,65,76,81
4,56,62,55,42,69
5,49,60,74,86,67
6,39,57,71,74,47
7,41,58,73,88,65
8,36,46,56,61,79
9,30,42,59,6,65
10,52,63,65,60,30
11,87,88,98,91,98
12,86,91,99,96,98
13,92,97,99,98,99
14,91,91,84,80,80
15,90,90,82,98,93
16,75,96,99,96,98
17,51,97,96,96,96
18,78,99,92,96,90
19,94,77,97,88,97
20,55,91,96,88,95
21,78,82,69,73,72
22,70,88,94,95,92
23,66,82,84,66,90
24,80,86,88,78,88
25,92,86,83,95,99
26,72,68,42,84,46
27,35,35,27,6,50
28,62,58,60,34,11
29,72,80,84,96,70
30,40,79,84,68,30
