sub-population,Independnet ,All ,True cluster,2 clusters ,3 clusters 
1,72,80,91,97,92
2,61,26,46,47,76
3,67,48,82,92,91
4,74,82,78,72,89
5,67,78,88,96,85
6,53,75,87,91,69
7,54,76,85,96,85
8,52,64,83,87,93
9,47,64,82,22,84
10,68,80,82,84,55
11,96,97,100,98,100
12,97,98,100,100,100
13,98,100,100,100,100
14,98,99,98,97,98
15,99,98,99,100,100
16,91,99,100,99,100
17,69,100,100,100,100
18,95,100,99,100,99
19,99,93,100,98,100
20,76,98,100,98,100
21,92,94,89,93,92
22,87,98,99,99,99
23,82,95,96,90,97
24,92,97,97,96,98
25,99,96,96,100,100
26,89,88,71,97,75
27,60,64,58,21,76
28,82,83,86,70,36
29,87,94,94,100,89
30,68,95,97,93,70
