"","Sub-population  21 ","Sub-population  22 ","Sub-population  23 ","Sub-population  24 ","Sub-population  25 ","Sub-population  26 ","Sub-population  27 ","Sub-population  28 ","Sub-population  29 ","Sub-population  30 ","Group"
"lower",2.75964543160718,1.74656688225959,2.22908303260035,2.10395687398874,1.68253938443205,2.64855815894487,2.16626564877494,1.91503148455564,2.14536932354853,1.76431380098608,NA
"upper",3.83452360614537,2.91985016801075,3.50688160818786,3.19287730040232,2.4355757148441,3.79737489088014,3.07935176204219,2.94988691909897,3.17091273796218,2.67224161468104,NA
